\begin{table}
\begin{tabular}{ccccccccccccccc}
field & ID & M_med & zbest & PETRO_RADIUS & fagn_mir & lir & s24(mJy) & fagn_tot & lagn & lsf & sfr & lx & lbol & BHAR \\
EGS & 29750 & 9.44196 & 0.762 & 4.62 & 0.1 & 10.11 & 0.03 & 0.0031 & 41.1841066595 & 43.6913965617 & 0.344609075465 & 42.5904121576 & 43.988015197 & -1.81094562682 \\
UDS & 12515 & 8.19312459835 & 0.762 & 5.9400001 & 0.2 & 10.33 & 0.046 & 0.0194 & 42.2005466956 & 43.9042368546 & 0.557449368377 & 42.9349853298 & 44.4187316623 & -1.38022916152 \\
EGS & 25400 & 9.68499 & 0.762 & 4.62 & 0.1 & 10.93 & 0.062 & 0.0031 & 42.0041066595 & 44.5113965617 & 1.16460907546 & 42.8683921576 & 44.335490197 & -1.46347062682 \\
EGS & 17004 & 10.0071 & 0.7627 & 4.62 & 0.3 & 10.91 & 0.169 & 0.0489 & 43.1820538248 & 44.4709711474 & 1.12418366114 & 43.2677162466 & 44.8346453083 & -0.964315515524 \\
EGS & 16536 & 8.61834 & 0.765 & 4.62 & 0.2 & 10.18 & 0.025 & 0.0194 & 42.0505466956 & 43.7542368546 & 0.407449368377 & 42.8841353298 & 44.3551691623 & -1.44379166152 \\
EGS & 19336 & 9.75974 & 0.767 & 3.96 & 0.1 & 10.86 & 0.107 & 0.0031 & 41.9341066595 & 44.4413965617 & 1.09460907546 & 42.8446621576 & 44.305827697 & -1.49313312682 \\
EGS & 5803 & 9.96543 & 0.767 & 3.5 & 0.1 & 11.39 & 0.489 & 0.0031 & 42.4641066595 & 44.9713965617 & 1.62460907546 & 43.0243321576 & 44.530415197 & -1.26854562682 \\
UDS & 6342 & 10.3074960379 & 0.767 & 5.2800002 & 0.1 & 11.26 & 0.112 & 0.0031 & 42.3341066595 & 44.8413965617 & 1.49460907546 & 42.9802621576 & 44.475327697 & -1.32363312682 \\
GDS & 24003 & 9.67 & 0.768 & 8.58 & 0.1 & 10.77 & 0.056 & 0.0031 & 41.8441066595 & 44.3513965617 & 1.00460907546 & 42.8141521576 & 44.267690197 & -1.53127062682 \\
EGS & 25232 & 10.3451 & 0.768 & 3.96 & 0.1 & 10.46 & 0.203 & 0.0031 & 41.5341066595 & 44.0413965617 & 0.694609075465 & 42.7090621576 & 44.136327697 & -1.66263312682 \\
UDS & 24126 & 9.95279244304 & 0.769 & 3.5 & 0.6 & 10.28 & 0.066 & 0.2166 & 43.198403418 & 43.7567285329 & 0.409941046678 & 43.2732587587 & 44.8415734484 & -0.95738737542 \\
UDS & 13264 & 9.66745295289 & 0.771 & 4.6199999 & 0.1 & 10.74 & 0.099 & 0.0031 & 41.8141066595 & 44.3213965617 & 0.974609075465 & 42.8039821576 & 44.254977697 & -1.54398312682 \\
UDS & 20939 & 9.67486114074 & 0.771 & 5.2800002 & 0.1 & 10.55 & 0.054 & 0.0031 & 41.6241066595 & 44.1313965617 & 0.784609075465 & 42.7395721576 & 44.174465197 & -1.62449562682 \\
EGS & 8172 & 9.28725 & 0.7764 & 5.28 & 0.1 & 10.27 & 0.033 & 0.0031 & 41.3441066595 & 43.8513965617 & 0.504609075465 & 42.6446521576 & 44.055815197 & -1.74314562682 \\
EGS & 27292 & 10.12 & 0.777 & 3.96 & 0.2 & 10.83 & 0.19 & 0.0194 & 42.7005466956 & 44.4042368546 & 1.05744936838 & 43.1044853298 & 44.6306066623 & -1.16835416152 \\
UDS & 12222 & 10.8463371121 & 0.7778 & 4.6199999 & 0.2 & 10.97 & 0.141 & 0.0194 & 42.8405466956 & 44.5442368546 & 1.19744936838 & 43.1519453298 & 44.6899316623 & -1.10902916152 \\
EGS & 9041 & 9.64935 & 0.778 & 3.96 & 0.1 & 10.66 & 0.077 & 0.0031 & 41.7341066595 & 44.2413965617 & 0.894609075465 & 42.7768621576 & 44.221077697 & -1.57788312682 \\
EGS & 25930 & 9.51376 & 0.778 & 4.62 & 0.1 & 10.42 & 0.046 & 0.0031 & 41.4941066595 & 44.0013965617 & 0.654609075465 & 42.6955021576 & 44.119377697 & -1.67958312682 \\
UDS & 17014 & 10.1271047984 & 0.779 & 4.6199999 & 0.1 & 11.29 & 0.334 & 0.0031 & 42.3641066595 & 44.8713965617 & 1.52460907546 & 42.9904321576 & 44.488040197 & -1.31092062682 \\
EGS & 25580 & 10.2755 & 0.779 & 4.62 & 0.3 & 11.21 & 0.198 & 0.0489 & 43.4820538248 & 44.7709711474 & 1.42418366114 & 43.3694162466 & 44.9617703083 & -0.837190515524 \\
EGS & 8938 & 9.94238 & 0.782 & 5.28 & 0.1 & 10.76 & 0.102 & 0.0031 & 41.8341066595 & 44.3413965617 & 0.994609075465 & 42.8107621576 & 44.263452697 & -1.53550812682 \\
EGS & 21809 & 9.05481 & 0.784 & 5.28 & 0.2 & 10.32 & 0.036 & 0.0194 & 42.1905466956 & 43.8942368546 & 0.547449368377 & 42.9315953298 & 44.4144941623 & -1.38446666152 \\
UDS & 15679 & 10.2253092817 & 0.785 & 5.2800002 & 0.3 & 10.99 & 0.099 & 0.0489 & 43.2620538248 & 44.5509711474 & 1.20418366114 & 43.2948362466 & 44.8685453083 & -0.930415515524 \\
UDS & 7247 & 10.4785664956 & 0.786 & 3.96 & 0.2 & 11.06 & 0.124 & 0.0194 & 42.9305466956 & 44.6342368546 & 1.28744936838 & 43.1824553298 & 44.7280691623 & -1.07089166152 \\
UDS & 14014 & 9.74818802701 & 0.787 & 4.6199999 & 0.3 & 11.17 & 0.196 & 0.0489 & 43.4420538248 & 44.7309711474 & 1.38418366114 & 43.3558562466 & 44.9448203083 & -0.854140515524 \\
COS & 543 & 10.5346 & 0.788 & 4.62 & 0.3 & 10.65 & 0.151 & 0.0489 & 42.9220538248 & 44.2109711474 & 0.864183661141 & 43.1795762466 & 44.7244703083 & -1.07449051552 \\
EGS & 4244 & 10.2527 & 0.789 & 5.28 & 0.3 & 11.31 & 0.369 & 0.0489 & 43.5820538248 & 44.8709711474 & 1.52418366114 & 43.4033162466 & 45.0041453083 & -0.794815515524 \\
COS & 8142 & 10.3407 & 0.79 & 4.62 & 0.3 & 10.74 & 0.26 & 0.0489 & 43.0120538248 & 44.3009711474 & 0.954183661141 & 43.2100862466 & 44.7626078083 & -1.03635301552 \\
COS & 27642 & 9.66947 & 0.79 & 3.96 & 0.1 & 10.54 & 0.062 & 0.0031 & 41.6141066595 & 44.1213965617 & 0.774609075465 & 42.7361821576 & 44.170227697 & -1.62873312682 \\
COS & 4869 & 9.77306 & 0.79 & 5.94 & 0.5 & 10.57 & 0.098 & 0.1475 & 43.321536986 & 44.0834393534 & 0.736651867131 & 43.3150010383 & 44.8937512978 & -0.905209525969 \\
EGS & 21205 & 10.1072 & 0.792 & 4.62 & 0.3 & 11.28 & 0.148 & 0.0489 & 43.5520538248 & 44.8409711474 & 1.49418366114 & 43.3931462466 & 44.9914328083 & -0.807528015524 \\
COS & 24980 & 10.4451 & 0.7926 & 3.5 & 0.1 & 10.77 & 0.066 & 0.0031 & 41.8441066595 & 44.3513965617 & 1.00460907546 & 42.8141521576 & 44.267690197 & -1.53127062682 \\
COS & 5356 & 10.579 & 0.7937 & 4.62 & 0.2 & 11.13 & 0.3 & 0.0194 & 43.0005466956 & 44.7042368546 & 1.35744936838 & 43.2061853298 & 44.7577316623 & -1.04122916152 \\
UDS & 15453 & 9.9642596302 & 0.794 & 4.6199999 & 0.1 & 10.46 & 0.058 & 0.0031 & 41.5341066595 & 44.0413965617 & 0.694609075465 & 42.7090621576 & 44.136327697 & -1.66263312682 \\
EGS & 17789 & 10.2528 & 0.796 & 5.28 & 0.2 & 11.41 & 0.25 & 0.0194 & 43.2805466956 & 44.9842368546 & 1.63744936838 & 43.3011053298 & 44.8763816623 & -0.922579161519 \\
UDS & 20874 & 10.0827853703 & 0.796 & 5.2800002 & 0.3 & 10.83 & 0.147 & 0.0489 & 43.1020538248 & 44.3909711474 & 1.04418366114 & 43.2405962466 & 44.8007453083 & -0.998215515524 \\
UDS & 21633 & 9.66275783168 & 0.797 & 3.96 & 0.3 & 10.83 & 0.095 & 0.0489 & 43.1020538248 & 44.3909711474 & 1.04418366114 & 43.2405962466 & 44.8007453083 & -0.998215515524 \\
UDS & 13502 & 9.07554696139 & 0.798 & 5.9400001 & 0.5 & 11.75 & 0.838 & 0.1475 & 44.501536986 & 45.2634393534 & 1.91665186713 & 43.7150210383 & 45.3937762978 & -0.405184525969 \\
UDS & 9887 & 10.4857214265 & 0.798 & 4.6199999 & 0.2 & 10.87 & 0.222 & 0.0194 & 42.7405466956 & 44.4442368546 & 1.09744936838 & 43.1180453298 & 44.6475566623 & -1.15140416152 \\
COS & 22365 & 10.3914 & 0.8 & 4.62 & 0.4 & 11.57 & 0.592 & 0.0916 & 44.1146404394 & 45.1110220912 & 1.76423460501 & 43.5838631089 & 45.2298288862 & -0.569131937611 \\
EGS & 29833 & 9.81946 & 0.8 & 4.62 & 0.3 & 10.61 & 0.062 & 0.0489 & 42.8820538248 & 44.1709711474 & 0.824183661141 & 43.1660162466 & 44.7075203083 & -1.09144051552 \\
COS & 12296 & 9.28987 & 0.8 & 5.28 & 0.7 & 11.17 & 0.185 & 0.2989 & 44.2282708807 & 44.5985249328 & 1.25173744658 & 43.6223838286 & 45.2779797857 & -0.520981038079 \\
COS & 25559 & 8.93111 & 0.8006 & 7.92 & 0.6 & 10.45 & 0.05 & 0.2166 & 43.368403418 & 43.9267285329 & 0.579941046678 & 43.3308887587 & 44.9136109484 & -0.88534987542 \\
EGS & 29068 & 9.73957 & 0.801 & 5.28 & 0.1 & 10.69 & 0.076 & 0.0031 & 41.7641066595 & 44.2713965617 & 0.924609075465 & 42.7870321576 & 44.233790197 & -1.56517062682 \\
UDS & 19574 & 9.59879050676 & 0.8035 & 5.2800002 & 0.3 & 10.95 & 0.089 & 0.0489 & 43.2220538248 & 44.5109711474 & 1.16418366114 & 43.2812762466 & 44.8515953083 & -0.947365515524 \\
UDS & 22229 & 9.48995847942 & 0.8045 & 4.6199999 & 0.1 & 10.8 & 0.112 & 0.0031 & 41.8741066595 & 44.3813965617 & 1.03460907546 & 42.8243221576 & 44.280402697 & -1.51855812682 \\
UDS & 9738 & 10.6618126855 & 0.8048 & 3.96 & 0.1 & 10.96 & 0.19 & 0.0031 & 42.0341066595 & 44.5413965617 & 1.19460907546 & 42.8785621576 & 44.348202697 & -1.45075812682 \\
EGS & 11104 & 10.2644 & 0.805 & 4.62 & 0.3 & 11.02 & 0.152 & 0.0489 & 43.2920538248 & 44.5809711474 & 1.23418366114 & 43.3050062466 & 44.8812578083 & -0.917703015524 \\
UDS & 15393 & 9.85186960073 & 0.805 & 5.2800002 & 0.1 & 10.74 & 0.126 & 0.0031 & 41.8141066595 & 44.3213965617 & 0.974609075465 & 42.8039821576 & 44.254977697 & -1.54398312682 \\
EGS & 6884 & 9.29 & 0.8054 & 3.96 & 0.2 & 10.98 & 0.115 & 0.0194 & 42.8505466956 & 44.5542368546 & 1.20744936838 & 43.1553353298 & 44.6941691623 & -1.10479166152 \\
EGS & 15727 & 10.9604 & 0.806 & 3.96 & 0.2 & 11.12 & 0.133 & 0.0194 & 42.9905466956 & 44.6942368546 & 1.34744936838 & 43.2027953298 & 44.7534941623 & -1.04546666152 \\
UDS & 15792 & 10.2405492483 & 0.806 & 3.96 & 0.1 & 10.59 & 0.074 & 0.0031 & 41.6641066595 & 44.1713965617 & 0.824609075465 & 42.7531321576 & 44.191415197 & -1.60754562682 \\
EGS & 24344 & 9.43207 & 0.806 & 5.28 & 0.1 & 10.7 & 0.042 & 0.0031 & 41.7741066595 & 44.2813965617 & 0.934609075465 & 42.7904221576 & 44.238027697 & -1.56093312682 \\
GDS & 21118 & 9.51 & 0.8068 & 3.96 & 0.02 & 10.05 & 0.031 & -0.000436 & nan & nan & nan & nan & nan & 0.0 \\
UDS & 3768 & 10.6180480967 & 0.807 & 5.2800002 & 0.1 & 11.15 & 0.271 & 0.0031 & 42.2241066595 & 44.7313965617 & 1.38460907546 & 42.9429721576 & 44.428715197 & -1.37024562682 \\
COS & 28370 & 8.84359 & 0.807 & 5.28 & 0.2 & 10.18 & 0.026 & 0.0194 & 42.0505466956 & 43.7542368546 & 0.407449368377 & 42.8841353298 & 44.3551691623 & -1.44379166152 \\
UDS & 3554 & 10.0253058653 & 0.807 & 4.6199999 & 0.1 & 11.5 & 0.411 & 0.0031 & 42.5741066595 & 45.0813965617 & 1.73460907546 & 43.0616221576 & 44.577027697 & -1.22193312682 \\
EGS & 4794 & 10.3511 & 0.807 & 5.28 & 0.2 & 10.93 & 0.191 & 0.0194 & 42.8005466956 & 44.5042368546 & 1.15744936838 & 43.1383853298 & 44.6729816623 & -1.12597916152 \\
EGS & 29569 & 8.90587 & 0.8078 & 3.96 & 0.3 & 10.0 & 0.026 & 0.0489 & 42.2720538248 & 43.5609711474 & 0.214183661141 & 42.9592262466 & 44.4490328083 & -1.34992801552 \\
EGS & 20538 & 9.92564 & 0.808 & 10.56 & 0.4 & 10.95 & 0.226 & 0.0916 & 43.4946404394 & 44.4910220912 & 1.14423460501 & 43.3736831089 & 44.9671038862 & -0.831856937611 \\
EGS & 2146 & 9.89026 & 0.8084 & 5.28 & 0.1 & 10.56 & 0.063 & 0.0031 & 41.6341066595 & 44.1413965617 & 0.794609075465 & 42.7429621576 & 44.178702697 & -1.62025812682 \\
EGS & 28269 & 9.47885 & 0.809 & 10.56 & 0.1 & 10.67 & 0.066 & 0.0031 & 41.7441066595 & 44.2513965617 & 0.904609075465 & 42.7802521576 & 44.225315197 & -1.57364562682 \\
COS & 19671 & 9.95086 & 0.81 & 4.62 & 0.1 & 10.62 & 0.073 & 0.0031 & 41.6941066595 & 44.2013965617 & 0.854609075465 & 42.7633021576 & 44.204127697 & -1.59483312682 \\
COS & 270 & 10.4723 & 0.81 & 4.62 & 0.2 & 11.12 & 0.162 & 0.0194 & 42.9905466956 & 44.6942368546 & 1.34744936838 & 43.2027953298 & 44.7534941623 & -1.04546666152 \\
UDS & 4335 & 10.1903316982 & 0.811 & 3.96 & 0.4 & 11.31 & 0.362 & 0.0916 & 43.8546404394 & 44.8510220912 & 1.50423460501 & 43.4957231089 & 45.1196538862 & -0.679306937611 \\
UDS & 9067 & 9.56110138365 & 0.811 & 5.2800002 & 0.3 & 10.61 & 0.092 & 0.0489 & 42.8820538248 & 44.1709711474 & 0.824183661141 & 43.1660162466 & 44.7075203083 & -1.09144051552 \\
EGS & 23704 & 10.0673 & 0.813 & 3.96 & 0.2 & 10.38 & 0.167 & 0.0194 & 42.2505466956 & 43.9542368546 & 0.607449368377 & 42.9519353298 & 44.4399191623 & -1.35904166152 \\
EGS & 27328 & 10.1469 & 0.814 & 3.96 & 0.3 & 11.08 & 0.212 & 0.0489 & 43.3520538248 & 44.6409711474 & 1.29418366114 & 43.3253462466 & 44.9066828083 & -0.892278015524 \\
GDS & 21244 & 9.72 & 0.814 & 5.28 & 0.1 & 10.49 & 0.029 & 0.0031 & 41.5641066595 & 44.0713965617 & 0.724609075465 & 42.7192321576 & 44.149040197 & -1.64992062682 \\
COS & 12246 & 10.447 & 0.814 & 4.62 & 0.2 & 10.69 & 0.139 & 0.0194 & 42.5605466956 & 44.2642368546 & 0.917449368377 & 43.0570253298 & 44.5712816623 & -1.22767916152 \\
EGS & 11660 & 9.39908 & 0.8166 & 4.62 & 0.1 & 10.15 & 0.024 & 0.0031 & 41.2241066595 & 43.7313965617 & 0.384609075465 & 42.6039721576 & 44.004965197 & -1.79399562682 \\
EGS & 25171 & 9.95443 & 0.817 & 3.96 & 0.1 & 10.71 & 0.088 & 0.0031 & 41.7841066595 & 44.2913965617 & 0.944609075465 & 42.7938121576 & 44.242265197 & -1.55669562682 \\
UDS & 24504 & 10.9180303368 & 0.8201 & 3.96 & 0.3 & 11.77 & 1.236 & 0.0489 & 44.0420538248 & 45.3309711474 & 1.98418366114 & 43.5592562466 & 45.1990703083 & -0.599890515524 \\
COS & 25452 & 10.3 & 0.822 & 3.5 & 0.3 & 10.53 & 0.157 & 0.0489 & 42.8020538248 & 44.0909711474 & 0.744183661141 & 43.1388962466 & 44.6736203083 & -1.12534051552 \\
EGS & 23685 & 10.0031 & 0.8228 & 5.28 & 0.1 & 10.81 & 0.108 & 0.0031 & 41.8841066595 & 44.3913965617 & 1.04460907546 & 42.8277121576 & 44.284640197 & -1.51432062682 \\
EGS & 8581 & 9.88728 & 0.823 & 3.96 & 0.2 & 10.83 & 0.098 & 0.0194 & 42.7005466956 & 44.4042368546 & 1.05744936838 & 43.1044853298 & 44.6306066623 & -1.16835416152 \\
GDS & 1864 & 9.61 & 0.824 & 5.28 & 0.1 & 10.68 & 0.078 & 0.0031 & 41.7541066595 & 44.2613965617 & 0.914609075465 & 42.7836421576 & 44.229552697 & -1.56940812682 \\
UDS & 14315 & 9.54777470539 & 0.824 & 5.2800002 & 0.3 & 10.47 & 0.064 & 0.0489 & 42.7420538248 & 44.0309711474 & 0.684183661141 & 43.1185562466 & 44.6481953083 & -1.15076551552 \\
COS & 21317 & 9.05427 & 0.825 & 5.94 & 0.2 & 10.55 & 0.061 & 0.0194 & 42.4205466956 & 44.1242368546 & 0.777449368377 & 43.0095653298 & 44.5119566623 & -1.28700416152 \\
COS & 1446 & 10.2672 & 0.826 & 3.96 & 0.1 & 10.78 & 0.104 & 0.0031 & 41.8541066595 & 44.3613965617 & 1.01460907546 & 42.8175421576 & 44.271927697 & -1.52703312682 \\
UDS & 17050 & 10.2278867046 & 0.827 & 3.96 & 0.1 & 11.63 & 0.244 & 0.0031 & 42.7041066595 & 45.2113965617 & 1.86460907546 & 43.1056921576 & 44.632115197 & -1.16684562682 \\
UDS & 4828 & 9.60097289569 & 0.829 & 4.6199999 & 0.1 & 10.54 & 0.059 & 0.0031 & 41.6141066595 & 44.1213965617 & 0.774609075465 & 42.7361821576 & 44.170227697 & -1.62873312682 \\
EGS & 30802 & 10.6101 & 0.83 & 10.56 & 0.3 & 11.18 & 0.214 & 0.0489 & 43.4520538248 & 44.7409711474 & 1.39418366114 & 43.3592462466 & 44.9490578083 & -0.849903015524 \\
COS & 5840 & 10.2832 & 0.83 & 4.62 & 0.3 & 11.03 & 0.326 & 0.0489 & 43.3020538248 & 44.5909711474 & 1.24418366114 & 43.3083962466 & 44.8854953083 & -0.913465515524 \\
COS & 29097 & 9.89999 & 0.83 & 4.62 & 0.3 & 10.92 & 0.154 & 0.0489 & 43.1920538248 & 44.4809711474 & 1.13418366114 & 43.2711062466 & 44.8388828083 & -0.960078015524 \\
COS & 24094 & 9.60643 & 0.83 & 4.62 & 0.2 & 10.71 & 0.083 & 0.0194 & 42.5805466956 & 44.2842368546 & 0.937449368377 & 43.0638053298 & 44.5797566623 & -1.21920416152 \\
UDS & 7626 & 10.0170333393 & 0.832 & 5.9400001 & 0.3 & 10.99 & 0.274 & 0.0489 & 43.2620538248 & 44.5509711474 & 1.20418366114 & 43.2948362466 & 44.8685453083 & -0.930415515524 \\
COS & 28634 & 9.43294 & 0.832 & 4.62 & 0.3 & 10.34 & 0.041 & 0.0489 & 42.6120538248 & 43.9009711474 & 0.554183661141 & 43.0744862466 & 44.5931078083 & -1.20585301552 \\
COS & 12978 & 10.3667 & 0.832 & 3.96 & 0.3 & 10.9 & 0.276 & 0.0489 & 43.1720538248 & 44.4609711474 & 1.11418366114 & 43.2643262466 & 44.8304078083 & -0.968553015524 \\
EGS & 24456 & 10.1984 & 0.833 & 4.62 & 0.1 & 11.33 & 0.376 & 0.0031 & 42.4041066595 & 44.9113965617 & 1.56460907546 & 43.0039921576 & 44.504990197 & -1.29397062682 \\
EGS & 31062 & 9.56787 & 0.834 & 5.94 & 0.2 & 10.68 & 0.078 & 0.0194 & 42.5505466956 & 44.2542368546 & 0.907449368377 & 43.0536353298 & 44.5670441623 & -1.23191666152 \\
EGS & 28541 & 8.4287 & 0.835 & 10.56 & 0.2 & 10.39 & 0.039 & 0.0194 & 42.2605466956 & 43.9642368546 & 0.617449368377 & 42.9553253298 & 44.4441566623 & -1.35480416152 \\
EGS & 25533 & 10.7089 & 0.835 & 5.28 & 0.1 & 11.06 & 0.22 & 0.0031 & 42.1341066595 & 44.6413965617 & 1.29460907546 & 42.9124621576 & 44.390577697 & -1.40838312682 \\
EGS & 9376 & 10.122 & 0.837 & 4.62 & 0.2 & 10.87 & 0.167 & 0.0194 & 42.7405466956 & 44.4442368546 & 1.09744936838 & 43.1180453298 & 44.6475566623 & -1.15140416152 \\
GDS & 15787 & 9.99 & 0.837 & 4.62 & 0.2 & 10.98 & 0.157 & 0.0194 & 42.8505466956 & 44.5542368546 & 1.20744936838 & 43.1553353298 & 44.6941691623 & -1.10479166152 \\
EGS & 25380 & 10.6571 & 0.837 & 4.62 & 0.1 & 11.37 & 0.208 & 0.0031 & 42.4441066595 & 44.9513965617 & 1.60460907546 & 43.0175521576 & 44.521940197 & -1.27702062682 \\
COS & 15095 & 10.279 & 0.837 & 4.62 & 0.1 & 11.44 & 0.567 & 0.0031 & 42.5141066595 & 45.0213965617 & 1.67460907546 & 43.0412821576 & 44.551602697 & -1.24735812682 \\
GDS & 24716 & 9.85 & 0.837 & 3.5 & 0.4 & 12.24 & 0.604 & 0.0916 & 44.7846404394 & 45.7810220912 & 2.43423460501 & 43.8109931089 & 45.5137413862 & -0.285219437611 \\
GDS & 18585 & 9.48 & 0.8372 & 3.96 & 0.2 & 10.47 & 0.048 & 0.0194 & 42.3405466956 & 44.0442368546 & 0.697449368377 & 42.9824453298 & 44.4780566623 & -1.32090416152 \\
COS & 29094 & 9.87123 & 0.838 & 10.56 & 0.1 & 11.27 & 0.335 & 0.0031 & 42.3441066595 & 44.8513965617 & 1.50460907546 & 42.9836521576 & 44.479565197 & -1.31939562682 \\
COS & 18328 & 9.39661 & 0.838 & 5.28 & 0.2 & 10.7 & 0.095 & 0.0194 & 42.5705466956 & 44.2742368546 & 0.927449368377 & 43.0604153298 & 44.5755191623 & -1.22344166152 \\
GDS & 20585 & 9.46 & 0.839 & 5.28 & 0.3 & 11.54 & 0.225 & 0.0489 & 43.8120538248 & 45.1009711474 & 1.75418366114 & 43.4812862466 & 45.1016078083 & -0.697353015524 \\
COS & 8334 & 10.3955 & 0.84 & 4.62 & 0.2 & 11.07 & 0.292 & 0.0194 & 42.9405466956 & 44.6442368546 & 1.29744936838 & 43.1858453298 & 44.7323066623 & -1.06665416152 \\
COS & 26176 & 9.85977 & 0.84 & 3.96 & 0.1 & 10.56 & 0.139 & 0.0031 & 41.6341066595 & 44.1413965617 & 0.794609075465 & 42.7429621576 & 44.178702697 & -1.62025812682 \\
EGS & 24915 & 10.5761 & 0.842 & 4.62 & 0.3 & 11.17 & 0.229 & 0.0489 & 43.4420538248 & 44.7309711474 & 1.38418366114 & 43.3558562466 & 44.9448203083 & -0.854140515524 \\
COS & 12795 & 10.7404 & 0.844 & 4.62 & 0.2 & 11.05 & 0.308 & 0.0194 & 42.9205466956 & 44.6242368546 & 1.27744936838 & 43.1790653298 & 44.7238316623 & -1.07512916152 \\
UDS & 20767 & 9.64933485871 & 0.844 & 4.6199999 & 0.3 & 10.38 & 0.055 & 0.0489 & 42.6520538248 & 43.9409711474 & 0.594183661141 & 43.0880462466 & 44.6100578083 & -1.18890301552 \\
COS & 26883 & 9.85455 & 0.847 & 4.62 & 0.1 & 10.81 & 0.137 & 0.0031 & 41.8841066595 & 44.3913965617 & 1.04460907546 & 42.8277121576 & 44.284640197 & -1.51432062682 \\
EGS & 661 & 10.3198 & 0.847 & 4.62 & 0.2 & 11.48 & 0.343 & 0.0194 & 43.3505466956 & 45.0542368546 & 1.70744936838 & 43.3248353298 & 44.9060441623 & -0.892916661519 \\
GDS & 26213 & 9.36 & 0.8479 & 3.96 & 0.1 & 10.79 & 0.036 & 0.0031 & 41.8641066595 & 44.3713965617 & 1.02460907546 & 42.8209321576 & 44.276165197 & -1.52279562682 \\
EGS & 29222 & 9.74662 & 0.849 & 4.62 & 0.1 & 10.45 & 0.052 & 0.0031 & 41.5241066595 & 44.0313965617 & 0.684609075465 & 42.7056721576 & 44.132090197 & -1.66687062682 \\
EGS & 25616 & 9.63496 & 0.85 & 3.96 & 0.1 & 10.49 & 0.052 & 0.0031 & 41.5641066595 & 44.0713965617 & 0.724609075465 & 42.7192321576 & 44.149040197 & -1.64992062682 \\
UDS & 7290 & 10.0530784435 & 0.8524 & 4.6199999 & 0.1 & 10.73 & 0.098 & 0.0031 & 41.8041066595 & 44.3113965617 & 0.964609075465 & 42.8005921576 & 44.250740197 & -1.54822062682 \\
COS & 27475 & 10.7209 & 0.853 & 4.62 & 0.1 & 11.22 & 0.27 & 0.0031 & 42.2941066595 & 44.8013965617 & 1.45460907546 & 42.9667021576 & 44.458377697 & -1.34058312682 \\
